latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
26.948156,67.831421,326.51,0.39,0.36,2020-01-01,0838,N,VIIRS,n,1,277.82,5.03,D,0
26.948727,67.83532,331.41,0.39,0.36,2020-01-01,0838,N,VIIRS,n,1,282.49,5.03,D,0
26.214363,68.366135,331.12,0.39,0.36,2020-01-01,0838,N,VIIRS,n,1,271.82,3.55,D,0
25.107351,67.108841,344.09,0.38,0.36,2020-01-01,0838,N,VIIRS,n,1,281.18,3.78,D,0
27.948738,69.422607,334.62,0.43,0.38,2020-01-01,0839,N,VIIRS,n,1,289.56,6.43,D,0
27.433094,68.53511,330.27,0.4,0.37,2020-01-01,0839,N,VIIRS,n,1,291.02,4.61,D,0
27.416761,68.492393,331.2,0.4,0.37,2020-01-01,0839,N,VIIRS,n,1,290.22,2.34,D,0
28.037733,69.166542,330.49,0.42,0.38,2020-01-01,0839,N,VIIRS,n,1,290.41,14.37,D,0
28.034275,69.16713,335.46,0.42,0.38,2020-01-01,0839,N,VIIRS,n,1,300.26,14.37,D,0
28.030819,69.167717,340.83,0.42,0.38,2020-01-01,0839,N,VIIRS,n,1,293.35,7.77,D,0
27.949417,69.423302,344.82,0.43,0.38,2020-01-01,0839,N,VIIRS,n,1,288.71,7.56,D,0
28.575884,70.420586,329.14,0.48,0.4,2020-01-01,0839,N,VIIRS,n,1,287.25,4.3,D,0
28.470362,69.990814,325.64,0.45,0.39,2020-01-01,0839,N,VIIRS,n,1,288.26,2.53,D,0
28.498529,70.216759,329.86,0.47,0.39,2020-01-01,0839,N,VIIRS,n,1,287.95,2.71,D,0
28.429605,69.882904,344.19,0.45,0.39,2020-01-01,0839,N,VIIRS,n,1,293.84,28.93,D,0
28.426039,69.883476,334.91,0.45,0.39,2020-01-01,0839,N,VIIRS,n,1,290.88,7.97,D,0
28.401661,69.864006,328.18,0.45,0.39,2020-01-01,0839,N,VIIRS,n,1,287.91,2.62,D,0
28.37678,69.812019,343.37,0.45,0.39,2020-01-01,0839,N,VIIRS,n,1,290.87,9.72,D,0
28.306461,69.737968,325.5,0.44,0.39,2020-01-01,0839,N,VIIRS,n,1,286.95,2.35,D,0
28.32428,70.21627,335.23,0.46,0.39,2020-01-01,0839,N,VIIRS,n,1,287.67,3.11,D,0
28.053808,69.207687,347.71,0.42,0.38,2020-01-01,0839,N,VIIRS,n,1,292.95,5.9,D,0
28.690229,70.295715,335.4,0.47,0.4,2020-01-01,0839,N,VIIRS,n,1,292.93,22.93,D,0
28.672529,70.392464,331.24,0.48,0.4,2020-01-01,0839,N,VIIRS,n,1,288.11,4.24,D,0
28.682617,70.146996,331.01,0.46,0.39,2020-01-01,0839,N,VIIRS,n,1,292.79,5.24,D,0
28.682266,70.145584,336.47,0.46,0.39,2020-01-01,0839,N,VIIRS,n,1,294.03,4.91,D,0
28.762169,70.586365,332.65,0.49,0.4,2020-01-01,0839,N,VIIRS,n,1,289.94,9.38,D,0
28.693878,70.295143,332.91,0.47,0.4,2020-01-01,0839,N,VIIRS,n,1,290.96,22.93,D,0
28.599697,70.401962,326.53,0.47,0.4,2020-01-01,0839,N,VIIRS,n,1,288.15,2.47,D,0
28.576523,70.366013,329.65,0.47,0.4,2020-01-01,0839,N,VIIRS,n,1,288.69,2.14,D,0
28.575275,70.41571,329.12,0.48,0.4,2020-01-01,0839,N,VIIRS,n,1,286.98,3.13,D,0
32.037312,75.235237,341.48,0.32,0.54,2020-01-01,0840,N,VIIRS,n,1,287.59,3.34,D,0
30.325459,70.538017,295.38,0.38,0.36,2020-01-01,2103,N,VIIRS,n,1,277.49,0.64,N,2
30.167765,70.928642,299.41,0.39,0.36,2020-01-01,2103,N,VIIRS,n,1,275.32,0.74,N,0
32.38789,72.142937,303.71,0.39,0.36,2020-01-01,2103,N,VIIRS,n,1,267.61,1.04,N,2
27.127375,69.232468,303.89,0.38,0.36,2020-01-01,2104,N,VIIRS,n,1,277.21,0.66,N,2
24.869741,66.897766,314.11,0.41,0.37,2020-01-01,2105,N,VIIRS,n,1,283.82,1.35,N,0
25.068727,68.635223,296.95,0.38,0.36,2020-01-01,2105,N,VIIRS,n,1,280.27,0.36,N,0
25.051216,67.49498,303.1,0.4,0.37,2020-01-01,2105,N,VIIRS,n,1,283.52,0.7,N,2
25.207945,68.656654,296.1,0.38,0.36,2020-01-01,2105,N,VIIRS,n,1,279.47,0.24,N,2
24.908955,66.705215,339.55,0.39,0.44,2020-01-02,0819,N,VIIRS,n,1,287.74,3.49,D,0
30.320498,70.870483,336.31,0.38,0.36,2020-01-02,0820,N,VIIRS,n,1,279.76,5.07,D,0
31.040314,73.959587,334.49,0.45,0.39,2020-01-02,0820,N,VIIRS,n,1,285.3,8.25,D,0
30.932407,73.669159,329.45,0.44,0.38,2020-01-02,0820,N,VIIRS,n,1,285.8,2.13,D,0
30.84498,73.056206,329.42,0.42,0.37,2020-01-02,0820,N,VIIRS,n,1,290.45,3.7,D,0
30.910643,73.78067,339.14,0.44,0.38,2020-01-02,0820,N,VIIRS,n,1,289.74,4.69,D,0
30.737165,72.541969,337.3,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,286.36,5.15,D,0
30.736353,72.540611,328.97,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,286.14,2.44,D,0
30.73694,72.544815,329.44,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,286.07,3.28,D,0
30.886652,73.787102,329.56,0.44,0.38,2020-01-02,0820,N,VIIRS,n,1,285.76,1.91,D,0
30.5849,72.197838,332.41,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,290.77,3.38,D,0
30.625471,72.543343,339.85,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,290.19,4.34,D,0
28.727188,70.62487,330.45,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,291.67,4.72,D,0
28.645733,70.689728,327.01,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,286.73,1.71,D,0
28.604181,70.555992,329.55,0.39,0.36,2020-01-02,0820,N,VIIRS,n,1,289.29,3.41,D,0
28.446466,69.864403,331.1,0.4,0.37,2020-01-02,0820,N,VIIRS,n,1,276.55,4.41,D,0
