latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
28.14065,69.59621,330.8,0.46,0.39,2019-12-04,0812,1,VIIRS,n,2.0NRT,298.1,3.2,D
31.84843,71.03268,330.6,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,297.5,8.5,D
32.35576,74.54275,332.7,0.43,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,295.8,3.1,D
32.35289,74.54787,335.8,0.43,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,295.6,3.8,D
31.78388,70.80165,330.4,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,296.5,1.9,D
32.26564,74.36701,326.7,0.42,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,297.3,1.3,D
31.75129,70.97823,343,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,299.3,3.7,D
32.06987,73.07618,335.8,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,300.6,3.5,D
32.12971,73.52175,341.3,0.4,0.37,2019-12-04,0812,1,VIIRS,n,2.0NRT,300.6,3.3,D
32.30723,74.83463,327,0.43,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,295.3,2.4,D
31.75634,71.07405,338.5,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,297.9,3.2,D
31.70384,70.78978,341.5,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,299.6,9.6,D
32.24834,74.54781,330.6,0.42,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,294.1,2.5,D
32.24488,74.54844,344.5,0.42,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,296.4,3.6,D
32.24303,74.7524,341.3,0.43,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,296.7,6.6,D
32.18279,74.31835,333,0.42,0.37,2019-12-04,0812,1,VIIRS,n,2.0NRT,298.6,3.2,D
31.6641,70.81981,330.6,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,297.7,4.5,D
31.69833,71.05309,333.2,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,297,4,D
32.16776,74.56982,329.6,0.42,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,295.5,1.8,D
31.63655,70.96457,336.2,0.39,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,297.1,2.8,D
32.1554,74.50337,342.6,0.42,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,296.9,4.9,D
32.16391,74.62109,337.3,0.43,0.38,2019-12-04,0812,1,VIIRS,n,2.0NRT,295,2.4,D
31.84179,72.40026,330.1,0.38,0.36,2019-12-04,0812,1,VIIRS,n,2.0NRT,301.4,3,D
