Year,Month,Day,Scan_start(UTC),Latitude,Longitude,FRP(MW),Confidence
2019,09,01,0044414,-11.2052,15.0012,8.48228,40
2019,09,01,0127217,-17.5839,177.529,18.3046,78
2019,09,01,0127217,-17.4826,177.838,9.78514,63
2019,09,01,0127217,-17.475,177.837,12.2203,72
2019,09,01,0120147,-45.223,170.326,74.4953,78
2019,09,01,0120147,-43.2918,171.772,37.5524,75
2019,09,01,0120147,-43.2918,171.759,23.3521,62
2019,09,01,0046068,-15.2898,19.5329,17.788,59
2019,09,01,0046068,-15.291,19.544,21.4804,70
2019,09,01,0046068,-15.6172,16.1623,10.5704,71
2019,09,01,0046068,-15.6329,15.38,22.1164,80
2019,09,01,0046068,-17.152,17.6479,12.2644,59
2019,09,01,0046068,-17.1529,17.6567,14.3771,66
2019,09,01,0046068,-17.1497,17.6491,13.7519,65
2019,09,01,0046068,-17.1506,17.6579,11.9637,54
2019,09,01,0027365,52.1573,10.3974,10.1921,66
2019,09,01,0027365,50.8763,16.8537,13.4009,89
2019,09,01,0027365,50.8681,16.852,13.3563,89
2019,09,01,0027365,50.8706,16.8459,22.9744,100
2019,09,01,0027365,50.8695,16.8573,7.40405,59
2019,09,01,0027365,45.0217,41.777,91.342,100
2019,09,01,0027365,48.1661,30.621,15.0208,83
2019,09,01,0027365,45.7606,38.4014,9.64339,34
2019,09,01,0027365,45.7619,38.3959,11.8951,60
2019,09,01,0027365,48.6079,21.1768,8.39168,78
2019,09,01,0029019,46.9343,18.9438,6.37573,62
2019,09,01,0029019,43.6722,24.5785,7.00458,59
2019,09,01,0030273,42.3689,20.2764,4.95669,54
2019,09,01,0030273,42.3675,20.2858,4.1439,35
2019,09,01,0030273,42.3558,20.224,12.1177,96
2019,09,01,0030273,42.3544,20.2337,5.11607,55
2019,09,01,0030273,42.3265,20.2358,6.11707,69
2019,09,01,0030273,41.4467,21.9444,15.7402,100
2019,09,01,0033181,30.5313,26.0796,26.8201,100
2019,09,01,0033181,31.5925,5.95899,13.7343,67
2019,09,01,0033181,29.2333,19.6956,19.1925,100
2019,09,01,0033181,28.913,20.9673,7.20768,74
